Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Afghanistan,AFG,50.867,56.265,58.975,59.379,59.772,60.154,60.527,60.893,61.256,61.615,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Albania,ALB,74.989,77.42,79.692,79.799,79.891,79.979,80.072,80.175,80.288,80.415,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Algeria,DZA,68.266,71.973,75.088,75.432,75.767,76.091,76.401,76.693,76.965,77.219,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Andorra,ADO,..,..,..,..,..,..,..,..,..,..,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Angola,AGO,43.203,46.621,50.875,51.301,51.72,52.138,52.558,52.976,53.392,53.805,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Antigua and Barbuda,ATG,73.79,75.947,77.272,77.45,77.624,77.796,77.964,78.129,78.292,78.452,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Argentina,ARG,75.191,77.544,78.934,79.103,79.27,79.434,79.595,79.754,79.909,80.06,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Armenia,ARM,70.78,74.717,77.244,77.473,77.694,77.908,78.109,78.291,78.452,78.594,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Aruba,ABW,75.932,76.257,76.994,77.144,77.29,77.43,77.564,77.694,77.821,77.946,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Australia,AUS,80.16,82,83.7,83.7,83.9,84,84.2,84.3,84.3,84.3,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Austria,AUT,79,81.2,83.1,83.3,83.2,83.5,83.8,83.6,83.8,84,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Azerbaijan,AZE,69.099,69.877,72.759,73.132,73.415,73.609,73.731,73.818,73.9,73.988,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,"Bahamas, The",BHS,74.152,75.476,77.169,77.358,77.536,77.705,77.866,78.024,78.18,78.335,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Bahrain,BHR,73.652,75.503,76.6,76.75,76.9,77.049,77.198,77.347,77.493,77.638,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Bangladesh,BGD,58.793,65.706,69.764,70.25,70.722,71.181,71.629,72.067,72.495,72.911,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Barbados,BRB,73.505,75.592,76.775,76.947,77.119,77.29,77.459,77.627,77.793,77.957,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Belarus,BLR,75.6,74.7,76.15,76.5,76.4,76.5,76.7,77.6,77.9,78.2,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Belgium,BEL,79.54,81,82.6,82.6,82.8,83,83.3,83.1,83.2,83.2,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Belize,BLZ,73.584,71.364,72.266,72.378,72.472,72.552,72.629,72.713,72.815,72.936,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Benin,BEN,56.003,57.173,59.3,59.611,59.887,60.128,60.344,60.551,60.76,60.977,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Bermuda,BMU,..,80.6,81.7,81.9,82.1,82.08,85.03,85.55,84.46,84.69,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Bhutan,BTN,52.344,60.739,66.583,67.178,67.704,68.169,68.588,68.979,69.358,69.734,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Bolivia,BOL,56.838,62.767,67.02,67.634,68.242,68.833,69.397,69.925,70.415,70.864,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Bosnia and Herzegovina,BIH,74.302,76.897,78.06,78.18,78.309,78.446,78.591,78.738,78.884,79.027,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Botswana,BWA,64.59,49.612,61.004,63.076,64.681,65.763,66.362,66.649,66.784,66.834,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Brazil,BRA,69.191,73.991,76.328,76.605,76.883,77.164,77.444,77.721,77.989,78.25,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Brunei Darussalam,BRN,74.639,76.935,78.374,78.689,79.041,79.414,79.788,80.139,80.451,80.717,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Bulgaria,BGR,75.15,75.3,76.3,76.6,77.1,77.2,77.8,77.9,78.6,79.3,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Burkina Faso,BFA,50.516,51.63,56.394,57.15,57.807,58.358,58.813,59.21,59.579,59.934,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Burundi,BDI,49.738,53.208,55.196,55.654,56.148,56.669,57.201,57.73,58.242,58.728,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Cabo Verde,CPV,67.208,71.388,73.869,74.093,74.268,74.408,74.534,74.667,74.826,75.016,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Cambodia,KHM,55.922,60.624,66.89,67.546,68.114,68.605,69.041,69.455,69.87,70.3,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Cameroon,CMR,55.155,52.991,53.418,53.829,54.279,54.752,55.235,55.721,56.205,56.679,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Canada,CAN,80.65,81.9,82.97,83.12,83.36,83.6,83.521,83.686,83.842,83.989,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Central African Republic,CAF,51.43,46.202,47.162,47.796,48.49,49.229,50.012,50.836,51.691,52.557,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Chad,TCD,48.106,48.646,49.39,49.809,50.289,50.804,51.321,51.815,52.263,52.656,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Channel Islands,CHI,78.285,79.971,81.582,81.774,81.945,82.095,82.227,82.349,82.465,82.581,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Chile,CHL,76.09,80.146,82.525,82.837,83.14,83.434,83.717,83.988,84.246,84.491,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,China,CHN,70.731,73.454,75.939,76.189,76.409,76.607,76.791,76.971,77.154,77.346,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Colombia,COL,72.384,74.823,76.485,76.68,76.858,77.022,77.18,77.336,77.496,77.662,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Comoros,COM,58.266,61.06,62.357,62.714,63.095,63.489,63.882,64.264,64.626,64.964,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,"Congo, Dem. Rep.",ZAR,50.464,51.478,56.538,57.194,57.804,58.36,58.863,59.321,59.745,60.142,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,"Congo, Rep.",COG,56.563,51.687,56.985,58.201,59.39,60.503,61.506,62.398,63.183,63.859,..,..
