Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Afghanistan,AFG,48.903,54.041,56.747,57.126,57.491,57.844,58.186,58.524,58.859,59.193,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Albania,ALB,69.07,71.273,73.402,73.655,73.935,74.235,74.544,74.843,75.119,75.369,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Algeria,DZA,65.198,68.48,70.813,71.112,71.382,71.626,71.85,72.068,72.287,72.512,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Andorra,ADO,..,..,..,..,..,..,..,..,..,..,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Angola,AGO,39.172,43.856,48.065,48.463,48.852,49.241,49.632,50.024,50.413,50.802,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Antigua and Barbuda,ATG,68.661,70.969,72.452,72.626,72.788,72.94,73.087,73.234,73.385,73.543,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Argentina,ARG,68.07,70.148,71.271,71.417,71.567,71.724,71.891,72.066,72.25,72.443,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Armenia,ARM,64.86,68,70.451,70.585,70.669,70.72,70.756,70.796,70.856,70.944,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Aruba,ABW,70.969,71.305,72.177,72.325,72.464,72.595,72.717,72.836,72.955,73.075,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Australia,AUS,73.98,76.6,79,79.2,79.3,79.5,79.7,79.9,80.1,80.3,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Austria,AUT,72.3,75.2,77.4,77.7,77.6,77.8,78.3,78.4,78.6,78.8,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Azerbaijan,AZE,60.601,63.788,66.897,67.142,67.321,67.444,67.524,67.582,67.634,67.692,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,"Bahamas, The",BHS,67.277,69.186,71.098,71.285,71.46,71.628,71.791,71.953,72.115,72.28,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Bahrain,BHR,71.417,73.739,74.858,74.988,75.119,75.25,75.382,75.513,75.644,75.774,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Bangladesh,BGD,58.06,65.007,67.999,68.352,68.695,69.032,69.37,69.711,70.055,70.402,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Barbados,BRB,68.95,70.96,72.053,72.207,72.362,72.517,72.674,72.832,72.992,73.153,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Belarus,BLR,66.3,63.4,64.54,64.7,64.7,64.6,64.7,66.6,67.3,68,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Belgium,BEL,72.73,74.6,77.1,76.9,77.3,77.5,78,77.8,78.1,78.1,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Belize,BLZ,69.093,65.614,66.772,66.943,67.066,67.144,67.191,67.231,67.284,67.355,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Benin,BEN,50.96,53.298,56.503,56.865,57.162,57.398,57.589,57.761,57.933,58.114,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Bermuda,BMU,..,75.3,76.3,76.7,76.806,76.63,77.46,77.99,76.87,77.09,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Bhutan,BTN,52.575,60.566,66.017,66.606,67.143,67.629,68.071,68.479,68.86,69.221,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Bolivia,BOL,53.459,58.712,62.479,63.026,63.568,64.098,64.605,65.084,65.531,65.944,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Bosnia and Herzegovina,BIH,67.432,71.75,72.811,72.971,73.132,73.295,73.46,73.627,73.794,73.963,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Botswana,BWA,60.62,47.819,57.237,58.942,60.261,61.154,61.656,61.912,62.053,62.139,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Brazil,BRA,61.673,66.281,68.688,68.972,69.259,69.55,69.846,70.143,70.44,70.737,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Brunei Darussalam,BRN,71.539,73.721,75.058,75.307,75.58,75.869,76.165,76.456,76.733,76.993,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Bulgaria,BGR,68.3,68.2,69.2,69.5,69.9,70,70.7,70.9,71.3,71.7,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Burkina Faso,BFA,48.27,49.123,54.041,54.714,55.304,55.807,56.234,56.612,56.966,57.307,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Burundi,BDI,46.345,49.845,51.799,52.212,52.64,53.077,53.513,53.941,54.356,54.753,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Cabo Verde,CPV,64.011,68.14,70.414,70.611,70.76,70.874,70.972,71.077,71.207,71.367,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Cambodia,KHM,51.213,56.186,62.326,63.034,63.683,64.272,64.808,65.304,65.774,66.224,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Cameroon,CMR,52.102,50.931,51.585,51.929,52.299,52.688,53.092,53.508,53.934,54.363,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Canada,CAN,74.26,76.7,78.41,78.64,78.97,79.33,79.281,79.54,79.787,80.021,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Central African Republic,CAF,46.72,43.069,44.283,44.844,45.454,46.098,46.768,47.457,48.155,48.849,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Chad,TCD,45.799,46.561,47.768,48.135,48.54,48.965,49.39,49.797,50.171,50.508,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Channel Islands,CHI,72.688,75.175,77.343,77.594,77.821,78.025,78.21,78.385,78.556,78.726,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Chile,CHL,69.43,73.654,76.255,76.597,76.933,77.268,77.606,77.949,78.295,78.644,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,China,CHN,67.411,70.089,72.818,73.054,73.274,73.484,73.689,73.89,74.091,74.293,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Colombia,COL,64.405,67.337,69.106,69.314,69.515,69.712,69.907,70.102,70.299,70.499,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Comoros,COM,55.118,57.895,59.146,59.499,59.872,60.251,60.623,60.982,61.319,61.631,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,"Congo, Dem. Rep.",ZAR,47.592,48.598,53.661,54.324,54.94,55.502,56.004,56.457,56.869,57.247,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,"Congo, Rep.",COG,53.568,49.545,54.674,55.788,56.859,57.848,58.732,59.52,60.222,60.837,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Costa Rica,CRI,73.106,75.13,76.003,76.107,76.217,76.338,76.477,76.635,76.814,77.011,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Cote d'Ivoire,CIV,50.564,46.135,47.992,48.511,48.98,49.39,49.746,50.077,50.407,50.743,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Croatia,HRV,68.59,69.12,72.33,72.4,72.9,73.5,73.8,73.9,74.2,74.5,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Cuba,CUB,72.796,74.737,76.477,76.651,76.79,76.901,77,77.106,77.232,77.384,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Curacao,CUW,..,..,71.9,71.7,72.4,..,74.4,..,..,74.8,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Cyprus,CYP,74.512,75.939,76.789,76.929,77.079,77.24,77.412,77.593,77.781,77.974,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Czech Republic,CZE,67.54,71.7,73.7,74,74.2,74.4,74.8,75.1,75.2,75.3,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Denmark,DNK,72.02,74.3,76,76.3,76.5,77.1,77.8,78.1,78.3,78.5,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Djibouti,DJI,55.13,55.484,57.403,57.879,58.375,58.868,59.333,59.755,60.125,60.436,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Dominica,DMA,..,..,..,..,..,..,..,..,..,..,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Dominican Republic,DOM,65.487,67.663,69.064,69.275,69.481,69.682,69.877,70.068,70.256,70.441,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Ecuador,ECU,66.59,69.971,71.636,71.841,72.049,72.262,72.484,72.713,72.949,73.192,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,"Egypt, Arab Rep.",EGY,62.232,66.241,67.534,67.743,67.956,68.172,68.386,68.595,68.797,68.99,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,El Salvador,SLV,59.268,64.319,66.299,66.592,66.884,67.175,67.463,67.746,68.024,68.297,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Equatorial Guinea,GNQ,46.631,50.794,53.349,53.799,54.265,54.731,55.18,55.601,55.984,56.329,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Eritrea,ERI,46.094,53.846,57.446,58.033,58.654,59.292,59.924,60.524,61.073,61.564,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Estonia,EST,64.5,65.1,67.4,68.6,69.8,70.6,71.4,71.4,72.8,72.8,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Ethiopia,ETH,45.622,50.584,56.948,57.924,58.827,59.641,60.364,61.015,61.61,62.156,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Faroe Islands,FRO,72.7,75.9,77.3,77.6,77.9,78.2,78.5,78.8,79.1,79.4,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Fiji,FJI,63.605,65.18,66.04,66.183,66.337,66.499,66.665,66.832,66.995,67.154,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Finland,FIN,70.94,74.1,75.8,76.3,76.5,76.7,77.3,77.7,78,78.3,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,France,FRA,72.6,75.3,77.6,77.8,78,78.2,78.7,78.7,79,79.3,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,French Polynesia,PYF,66.673,69.75,72.571,72.913,73.212,73.471,73.698,73.908,74.117,74.329,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Gabon,GAB,59.786,58.959,60.744,61.237,61.71,62.154,62.569,62.97,63.367,63.759,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,"Gambia, The",GMB,50.954,54.439,57.407,57.656,57.879,58.085,58.284,58.484,58.69,58.906,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Georgia,GEO,66.264,68.049,69.882,70.079,70.272,70.46,70.644,70.821,70.99,71.154,..,..
